UT,作者,机构,第几作者
WOS:000510638200001,"Yang, Weimin","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000510638200001,"Zhu, Baixin","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",2
WOS:000510638200001,"Hou, Yinghao","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000510638200001,"Yang, Xiaoli","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000510638200001,"Pang, Juan","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:000495970300008,"Chen, Xiaoyun","Jinling Inst Technol, Coll Sci, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:000459302600017,"Hu Guobing","Jinling Inst Technol, Dept Elect & Informat Engn, 99 Hongjing Rd Jiangning Dist, Nanjing, Jiangsu, Peoples R China.",1
WOS:000459302600017,"Zhao Pinjiao","Jinling Inst Technol, Dept Elect & Informat Engn, 99 Hongjing Rd Jiangning Dist, Nanjing, Jiangsu, Peoples R China.",2
WOS:000459302600017,"Chen Zhengyu","Jinling Inst Technol, Dept Elect & Informat Engn, 99 Hongjing Rd Jiangning Dist, Nanjing, Jiangsu, Peoples R China.",3
WOS:000459302600017,"Luo Ronghua","Jinling Inst Technol, Dept Elect & Informat Engn, 99 Hongjing Rd Jiangning Dist, Nanjing, Jiangsu, Peoples R China.",4
WOS:000378590900029,"Wang, Kun-Yan","Jinling Inst Technol, Sch Mat Engn, Nanjing 210000, Jiangsu, Peoples R China.",1
WOS:000378590900029,"Yang, Xiao-Li","Jinling Inst Technol, Sch Mat Engn, Nanjing 210000, Jiangsu, Peoples R China.",2
WOS:001638776000008,"Meng, Qi","Jinling Inst Technol, Nanjing 211169, Peoples R China.",1
WOS:001638776000008,"Wen, Xingyu","Jinling Inst Technol, Nanjing 211169, Peoples R China.",2
WOS:001638776000008,"Shen, Beier","Jinling Inst Technol, Nanjing 211169, Peoples R China.",3
WOS:000985716800001,"Hu, Xiaohong","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",1
WOS:000985716800001,"Jin, Weiwei","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",2
WOS:000985716800001,"Zhang, Haitao","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",3
WOS:000985716800001,"Qing, Qinyu","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",4
WOS:000985716800001,"Pang, Juan","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",5
WOS:000861229100001,"Xu, Yonghua","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:000838347000001,"Xu, Rui","Jinling Inst Technol, Coll Art, Nanjing, Peoples R China.",1
WOS:000840746100001,"Cheng, Renxiang","Jinling Inst Technol, Sch Elect & Informat Engn, Nanjing 211169, Peoples R China.",1
WOS:000751820500006,"Wu, Zhongming","Jinling Inst Technol, Dept Mech & Elect Engn, Nanjing 211169, Peoples R China.",1
WOS:000751820500006,"Zhu, Mufangzhou","Jinling Inst Technol, Dept Mech & Elect Engn, Nanjing 211169, Peoples R China.",2
WOS:000751820500006,"Guo, Yu","Jinling Inst Technol, Dept Mech & Elect Engn, Nanjing 211169, Peoples R China.",3
WOS:000751820500006,"Sun, Li","Jinling Inst Technol, Dept Mech & Elect Engn, Nanjing 211169, Peoples R China.",4
WOS:000751820500006,"Gu, Yuchen","Jinling Inst Technol, Dept Mech & Elect Engn, Nanjing 211169, Peoples R China.",5
WOS:000563480200001,"Chen, Pin","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",1
WOS:000563480200001,"Kong, Jingyang","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",2
WOS:000563480200001,"Wang, Xin","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",3
WOS:000563480200001,"Ma, Weiye","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",4
WOS:000563480200001,"Yang, Xia","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",5
WOS:000563480200001,"Qin, Yuqing","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",6
WOS:000563480200001,"Hu, Xiaohong","Jinling Inst Technol, Sch Mat Engn, Nanjing, Peoples R China.",7
WOS:000516823700055,"Tian, Xiaomin","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing 211169, Peoples R China.",1
WOS:000516823700055,"Yang, Zhong","Jinling Inst Technol, Coll Intelligent Sci & Control Engn, Nanjing 211169, Peoples R China.",2
WOS:000524666400007,"Yu, Zhenzhong","Jinling Inst Technol, Sch Intelligence Sci & Control Engn, Nanjing 211169, Peoples R China.",1
WOS:000524666400007,"Yang, Zhong","Jinling Inst Technol, Sch Intelligence Sci & Control Engn, Nanjing 211169, Peoples R China.",2
WOS:000524666400007,"Zhang, Yan","Jinling Inst Technol, Sch Intelligence Sci & Control Engn, Nanjing 211169, Peoples R China.",3
WOS:000524666400007,"Hu, Xingliu","Jinling Inst Technol, Sch Intelligence Sci & Control Engn, Nanjing 211169, Peoples R China.",4
WOS:000524666400007,"Wang, Yizhi","Jinling Inst Technol, Sch Intelligence Sci & Control Engn, Nanjing 211169, Peoples R China.",5
WOS:000405331500052,"Wang, Kun-Yan","Jinling Inst Technol, Sch Mat Engn, Nanjing 210000, Jiangsu, Peoples R China.",1
WOS:000405331500052,"Yang, Xiao-Li","Jinling Inst Technol, Sch Mat Engn, Nanjing 210000, Jiangsu, Peoples R China.",2
WOS:000285090900008,"Feng, Zhi-Qiang","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",1
WOS:000285090900008,"Yang, Xiao-Li","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",2
WOS:000285090900008,"Ye, Yuan-Feng","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",3
WOS:000285090900008,"Dong, Tao","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",4
WOS:000285090900008,"Wang, Huai-Qing","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Peoples R China.",5
WOS:001668334200001,"Zhang, Wenyan","Jinling Inst Technol, Coll Mat Engn, Nanjing, Peoples R China.",1
WOS:001668334200001,"Jiang, Chaoqun","Jinling Inst Technol, Coll Mat Engn, Nanjing, Peoples R China.",2
WOS:001668334200001,"Zhang, Ling","Jinling Inst Technol, Coll Mat Engn, Nanjing, Peoples R China.",3
WOS:001668334200001,"Wang, Tianhua","Jinling Inst Technol, Coll Mat Engn, Nanjing, Peoples R China.",4
WOS:001668334200001,"Hao, Lingyun","Jinling Inst Technol, Coll Mat Engn, Nanjing, Peoples R China.",5
WOS:001401773400055,"Ge, Weidong","Jinling Inst Technol, Nanjing 211169, Peoples R China.",1
WOS:001028029000022,"Jin, Yaqin","Jinling Inst Technol, Dept Hort, Nanjing 210038, Peoples R China.",1
WOS:001028029000022,"Shi, Ying","Jinling Inst Technol, Dept Hort, Nanjing 210038, Peoples R China.",2
WOS:001028029000022,"Chang, Junli","Jinling Inst Technol, Dept Hort, Nanjing 210038, Peoples R China.",3
WOS:001028029000022,"Zhang, Qian","Jinling Inst Technol, Dept Hort, Nanjing 210038, Peoples R China.",4
WOS:000697300600002,"Yi, Chuanjun","Jinling Inst Technol, Sch Comp Engn, Nanjing 211169, Peoples R China.",1
WOS:000448568100039,"Yang, Xiaoli","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",1
WOS:000448568100039,"Liu, Yejing","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",2
WOS:000448568100039,"Li, Jiaheng","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",3
WOS:000448568100039,"Wang, Qi","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",4
WOS:000448568100039,"Yang, Ming","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",5
WOS:000448568100039,"Li, Cong","Jinling Inst Technol, Coll Mat Engn, Nanjing 211169, Jiangsu, Peoples R China.",6
WOS:001570480100007,"Xu, Haiyan","Jinling Inst Technol, Coll Sci, Nanjing 211169, Peoples R China.",1
WOS:001325900200011,"Li, Dapeng","Jinling Inst Technol, Sch Software Engn, Nanjing, Peoples R China.",1
WOS:001325900200011,"Guo, Jing","Jinling Inst Technol, Sch Software Engn, Nanjing, Peoples R China.",2
WOS:000975393400001,"Zhang, Xiaomin","Jinling Inst Technol, Coll Mat Engn, 99 Hong Jing Rd, Nanjing 211100, Peoples R China.",1
