UT,英文姓名,中文姓名,作者顺序
000427958200010,Song, Yong-sheng,宋永生,3
000399284100001,Yu, Jiming,于继明,1
000370097900114,Hu, Xingliu,胡兴柳,1
000340692900003,Zhang, Zhicheng,张志成,1
000340692900003,Dai, Dingzhen,戴鼎震,4
001366492700001,Han, Zhengqiang,韩正强,1
001366492700001,Xu, Shiyong,徐世永,3
001335229700001,Wang, Fangli,王芳丽,5
001056497300001,Jiang, Jin,姜劲,3
000889342600013,Wu, Kongping,吴孔平,1
000889342600013,Zhang, Leng,张冷,2
000889342600013,Wang, Danbei,王丹蓓,3
000889342600013,Li, Fangzhen,,4
000889342600013,Zhang, Pengzhan,张鹏展,5
000827296800003,Dai, Qian,代倩,1
000835044800001,Zhi, Guowei,,1
000835044800001,Hao, Lingyun,郝凌云,2
000835044800001,Chen, Wenjing,,3
000835044800001,Sheng, Qinyang,,4
000835044800001,Liu, Liu,,5
000835044800001,Wang, Wei,汪玮,6
000547453700010,Xuan, Weihong,宣卫红,5
000547453700010,Chen, Yuzhi,陈育志,6
000441485500010,Li, J. E.,李金娥,3
001452427800029,Han, Bing,韩冰,2
001438760100001,Zhu, Jie,朱杰,2
001437863000001,Jin, Chenhua,金辰华,6
001449096900001,Wang, Zhongwei,王忠伟,1
000619688600001,Wang, Chunmeng,王春萌,1
000632529400008,Ban, Qiuyan,班秋妍,4
001582322400008,Wang, Yuanyuan,汪园园,1
001582322400008,Ben, Jiaqi,,2
001582322400008,Guan, Hangmin,管航敏,3
001582322400008,Hu, Xuemin,胡学敏,4
001582322400008,Ye, Yuanfeng,叶原丰,5
001582322400008,Hu, Yingfei,胡颖飞,6
001582322400008,Wu, Linqiu,,8
001203466500068,Wang, Qianqian,王倩倩,1
001166352300001,Chen, Yuzhi,陈育志,1
001166352300001,Xuan, Weihong,宣卫红,4
001158960100001,Hu, Xuemin,胡学敏,2
000984354100001,Jing, Yanting,荆彦婷,4
000901622700001,Cheng, Chao,,1
000901622700001,Bian, Gaorui,边高瑞,3
000887166700001,Wang, Xia,王霞,1
000887166700001,Tian, Xianghong,田祥宏,2
000887166700001,Su, Shoubao,苏守宝,3
000887166700001,Gu, Ruijun,谷瑞军,4
000887166700001,Hu, Caiping,胡彩平,5
000887166700001,Liu, Haiqiang,刘海强,6
000797735600001,Song, Yongsheng,宋永生,1
000797735600001,Jia, Huijuan,贾慧娟,5
000797735600001,Xu, Chen,,7
000797735600001,Ge, Jingwen,,8
000561102600007,Hu, Yuqing,胡宇清,1
000499945200032,Hu, Xiaohong,胡小红,10
000356740400001,Liu, Xiangjian,刘祥建,5
001568066900010,Yang, Fangyi,杨方宜,1
001492360700001,Shi, Xin-He,史新和,7
001432075500001,Wu, Shujie,吴舒洁,2
001081987200001,Jia, Zhi-Chao,贾志超,3
000979698600001,Zhao, Di,赵迪,2
000852594300001,Hu, Xingliu,胡兴柳,1
000852594300001,Si, Haifei,司海飞,2
000852594300001,Wang, Yizhi,王逸之,4
000734079100001,Lyu, Fei,吕飞,1
000584498300030,Liao Wang-chun,廖望春,1
000584510900153,Qin, Fang,秦芳,1
000584510900153,Kuang, Caiyuan,匡才远,2
000505108400002,Li, Jine,李金娥,1
000431565800008,Hu, Xiaohong,胡小红,13
001720460800001,Sun, Luanhong,孙孪鸿,4
001580742600001,Liu, Sumei,刘素梅,1
001214826400002,Zhou, Jinyu,周金宇,2
001140869400001,Zhu, Min,朱敏,1
001140869400001,Wang, Lingling,王玲玲,3
001140869400001,Huo, Feifei,霍飞飞,4
001140869400001,Wang, Xuedao,王雪道,5
001162865600017,Tian, Li-Ping,田丽萍,1
001162865600017,Shen, Ling-Bin,沈令斌,2
001162865600017,Lin, Chen,,5
001009635200001,Feng, Meiqin,冯美琴,2
000808039400001,Zeng, Yue,曾岳,4
000735514500009,Qu, Aiyan,曲爱妍,2
000384249700036,Song, Yong Sheng,宋永生,1
000306723900027,Huang, Yong,黄勇,1
001675898900002,Lu, Junfeng,卢军锋,1
001616722400001,Song, Shoutan,宋守坛,2
001551077800001,Song, Chi,宋驰,3
001197086400001,Hu, Xuemin,胡学敏,4
001132393100001,Bai, Bingfeng,白冰峰,1
000889489800001,Wang, Jianquan,王建全,1
000889489800001,Hao, Lingyun,郝凌云,2
000889489800001,Li, Xinhua,李新华,3
000853658600001,Cheng, Renxiang,程任翔,2
000677478500004,Xue, Yu,,1
000677478500004,Su, Shoubao,苏守宝,3
000522227400040,Liu, Jing,刘静,7
000444595200001,Chen, Zhengyu,陈正宇,1
000444595200001,Hu, Guobing,胡国兵,3
000444595200001,Zhang, Jin,张金,5
000377752900003,Lin, Qing,林青,2
001702474500001,Zhang, Hui,张慧,1
001587876700001,Han, Lili,韩丽丽,1
001612794100001,Wang, Xuedao,王雪道,2
001340369300001,Guo, Yanle,郭延乐,1
001340369300001,Shi, Yiyun,,2
001340369300001,Hao, Zhenping,郝振萍,4
001340369300001,Zhuang, Fengyuan,,5
001340369300001,Zhou, Qiaobo,,6
001340369300001,Cui, Qunxiang,崔群香,8
001185479600001,Jiang, Jin,姜劲,1
001137462800001,Wang, Shunyao,王顺尧,1
000800882300002,Xu, Jianyong,徐建勇,3
000369845600013,Li, Yu-ping,李玉萍,1
000369845600013,Miao, Shu-xing,苗淑杏,4
000337105500004,Hu, X. H.,胡小红,1
000337105500004,Zhang, G. J.,,2
000337105500004,Chen, X. Y.,陈晓玉,5
000337105500004,Zhang, Y. S.,,6
000305698200001,Tang, Zhengxia,唐正霞,6
000303473100014,Zhang, Zhicheng,张志成,1
000293657600038,Dai Shaoyu,戴绍虞,1
001455344000001,Chen, Li,陈丽,1
001649714300001,Gao, Yingjie,高英杰,1
001649714300001,Wang, Wenqi,,2
001649714300001,Ye, Quanyi,叶全意,5
001302931900001,Jiang, Jin,姜劲,5
001134041800001,Tong, Chao,童超,1
001124641700064,Chen, Lin,陈琳,1
001124641700064,Yang, Huizhen,杨慧珍,2
001124641700064,Tian, Liping,田丽萍,4
001124641700064,Ding, Dongyan,丁冬艳,5
001124641700064,Wang, Yunji,王云姬,6
001124641700064,Ji, Ke,季珂,7
001124641700064,Zheng, Pengxiang,,8
001124641700064,Luo, Ting,,9
001124641700064,She, Chenye,,10
000979435800001,Chen, Shuai,陈帅,1
000821407000001,Sun, Li,孙丽,1
000821407000001,Li, Tianyu,,3
000767537400008,Xiao, FangXiong,肖芳雄,4
000713411500001,Zhang, Ni,张妮,4
000390967200009,Hu, Xiaohong,胡小红,11
000372259300013,Lin, Qin,林青,4
001615989800001,Wang, Zhao,王昭,1
001615989800001,Zhou, Yao,,2
001615989800001,Lin, Qing,林青,3
001615989800001,Zhang, Xiaojuan,张小娟,4
001615989800001,Qiao, Mengqi,,5
001615989800001,Liang, Dong,梁栋,6
001571317200001,Sun, Luanhong,孙孪鸿,5
001253817900001,Hou, Tianhao,侯天浩,1
000961304600001,Zheng, Tian -Tian,郑田田,1
000890792000001,Qian, Xinjie,钱欣洁,1
000882410800002,Qi, Zhengqing,祁正青,5
000460386900098,Zhang, Zili,张子立,1
000460386900098,Jiang, Jin,姜劲,4
000460386900098,Guo, Yu,郭语,5
000393059900010,Chen, Yuzhi,陈育志,1
000364248400042,Shan, Xiaofeng,单晓峰,3
000340179900001,Yan, Xiaoyong,严筱永,1
000340179900001,Yan, Hao,阎浩,3
001486523200001,Tang, Fanlong,唐樊龙,1
001286164800001,Ma, Xiaoyong,马小勇,1
001278280700001,Yao, Hongliang,姚宏亮,5
001170010200001,Wang, Sake,汪萨克,4
000874544700003,Cheng, Renxiang,程任翔,2
000845185400001,Jing, Yanting,荆彦婷,1
000635477600005,Sun, Luanhong,孙孪鸿,1
000635477600005,Hao, Lingyun,郝凌云,3
000635477600005,Wang, Wei,汪玮,4
000545317500025,Huang, Donghui,黄冬辉,5
000514749500025,Hu, Xiaohong,胡小红,9
000380944400040,Deng, Kuan,邓宽,1
001681407800020,Zhao, Juan,赵娟,1
001681407800020,Yan, Hao,阎浩,4
001681407800020,Zhang, Zheng,张正,5
001486757000002,Jiang, Yan-Bin,姜彦彬,5
001229212700001,Zhao, Juan,赵娟,1
001229212700001,Yan, Hao,阎浩,4
001229212700001,Zhang, Zheng,张正,5
000786130600001,Su, Shoubao,苏守宝,1
000786130600001,He, Chao,,2
000786130600001,Xu, Liukai,,3
000694028000007,Wang, Qianqian,王倩倩,1
000426568600019,Lin, Qing,林青,4
000415769500046,Feng, Meiqin,冯美琴,1
000371194000017,Lin, Qing,林青,2
000350333600066,Zhang, Changqing,张长青,3
000321862200003,Hu, Xiaohong,胡小红,1
000321862200003,Ma, Xiaohan,,2
001665637500001,Zhong, Wen,钟雯,1
001665637500001,Song, Yongsheng,宋永生,2
001665637500001,Xu, Mengyao,,5
001525296300001,Lu, Junfeng,卢军锋,1
001525296300001,Pei, Pengyu,裴鹏宇,2
001378131500001,Zhang, Songsong,张松松,1
001067347300001,Chen, Peng,陈鹏,3
001025659800001,Liu, Z.,刘震,1
001025659800001,Wang, R. X.,王瑞雪,2
001025659800001,Sun, K. W.,,3
001025659800001,Ling, X. C.,,4
001025659800001,Sun, J. W.,,5
000983395200003,Yang, Hong,杨红,2
000983395200003,Gu, Xiao-yan,顾晓燕,4
000717029800001,Jiang, Yue,姜悦,1
000705062900018,Qian, Xinjie,钱欣洁,1
000332277400012,Hu, Xiaohong,胡小红,1
000332277400012,Pan, Chengbin,,4
000332277400012,Chen, Xiuxia,,5
000325838000017,Deng, K. D.,邓凯东,3
000287825400003,Dong Tao,,1
000255728600026,Zhang, Rui,张睿,1
001709770300001,Hu, Huajin,,2
001535440900001,Cheng, Kaixin,,1
001535440900001,Zhang, Chaolong,张朝龙,2
001535440900001,Wang, Anxiang,,5
001535440900001,Zhou, Yujie,,6
001535440900001,Zhang, Zhao,张曌,7
001535440900001,Zhang, Yan,张燕,8
001487357800002,Jiang, Jin,姜劲,1
001445067100034,Fan, Lili,范利利,3
000876432000004,Yan, Xinyun,颜新云,1
000876432000004,Zhu, Xia,朱霞,2
000876432000004,Zhai, Hongjun,翟洪军,3
000876432000004,Wang, Chishe,王池社,4
000876432000004,Wang, Jie,王洁,5
000880072700003,Wang, Jiachun,王佳春,1
